title,score,num_users_voted,num_fb_likes,genres,keywords,synopsis,date,budget,gross
Enough,5.6,30667,2900.0,crime__drama__thriller,escape__marriage__abusive husband__woman wearing only a man's shirt__intimate partner homicide,"An abused woman discovers that the dream man she married isn't who she thought he was. She and her daughter try to escape (aided by her previous boyfriend), but he pursues her relentlessly. Fearing also for the safety of her daughter, she decides that there's only one way out of the marriage: kill him.",2002-07-05,38000000,39177215
Heartbreakers,6.2,44168,989.0,comedy__crime__romance,millionaire__bank__scam__money__infidelity,"Max and Page are a mother and daughter con team. Max seduces wealthy men into marrying her, then Page seduces them into infidelity so Max can rake them over the divorce court coals. And then it's on to the next victim.",2001-08-03,35000000,40334024
Paul Blart: Mall Cop 2,4.4,23473,8000.0,action__comedy__crime,no opening credits__wilhelm scream__sequel__character name in title,"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers.",2015-07-31,30000000,71038190
Angel Eyes,5.6,19686,689.0,drama__romance,mysterious man__love__fate__gun__apartment,"While pursuing a suspect one night, Chicago Police officer Sharon Pogue nearly becomes the victim of a fatal ambush. A mysterious stranger, Catch intervenes, disarms the assassin and saves Sharon's life. Is it a stroke of luck? A twist of fate? Or just a concerned citizen who happened to pass by at the right time and wasn't afraid to get involved? Maybe, but Sharon and Catch have met once before. As the two fall in love, they discover the truth about each other and are forced to deal with the secrets from their past.",2001-07-13,38000000,24044532
Joe Somebody,5.5,8433,168.0,comedy__drama,fight__bully__karate__divorce__co worker,"When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduring a personal make-over and takes martial arts lessons from a B-action star. As news spreads of his rematch with Mark, Joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. He's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with.",2002-03-29,38000000,22770864
The Ninth Gate,6.7,137722,7300.0,mystery__thriller,rare book__lucifer__sex__gnosticism__bare butt,"In New York, the money-driven dealer Dean Corso is a rare-books expert and partner of Bernie, who owns a bookstore. He is contacted by the renowned collector of books about the devil Boris Balkan, who has just acquired the rare The Nine Gates of the Kingdom of Shadows from the collector Andrew Telfer, to verify whether his book is authentic or a forgery. Balkan explains that the book was written by the writer Aristide Torchia, in 1666, with Lucifer and he was burned at the stake with his entire work. There are only three exemplars of The Nine Gates and in accordance with the legend, its nine engravings form a riddle to conjure the devil. The skeptical Corso accepts the assignment and has to fly to Sintra, Portugal, and Paris, France, to contact the owners Victor Fargas and Baroness Kessler and find the genuine exemplar for Balkan. Meanwhile, he asks Bernie to hide the rare book. Before traveling to Europe, the widow Liana Telfer wants to retrieve the book and has sex with Corso, but ...",2000-05-19,38000000,18653746
Extreme Measures,6.1,14066,352.0,crime__drama__mystery__thriller,hospital__emergency room__doctor__cartoon on tv__nudity,"Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York who starts making unwanted enquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of the eminent surgeon Dr Lawrence Myrick (Gene Hackman), but Luthan soon finds himself in danger from people who want the hospital's secret to remain undiscovered.",1996-11-15,38000000,17305211
Rock Star,6.2,34592,4300.0,drama__music,tribute band__cover band__rock star__heavy metal__fired from a job,"Chris Cole was born to rock. His longtime girlfriend Emily believes his talent could take him all the way - but Chris worships at the altar of Bobby Beers, the fiery frontman for heavy metal legends Steel Dragon. By day, Chris still lives at home with his parents and spends his days repairing copy machines. But when Chris takes the stage, fronting Pennsylvania's premiere Steel Dragon tribute band, all of that disappears. Chris Cole is Bobby Beers - mesmerizing audiences with his perfect imitation of Beers' electrifying vocals. The night his bandmates boot him out of the group, Chris is devastated - until an unexpected phone call changes his life forever: He, Chris Cole, has been tapped to replace Bobby Beers as the lead singer of Steel Dragon. In an instant, Chris rockets to the dizzying heights of sudden stardom, rising from devotee to icon, from rock fan to rock god - the wanna-be who got to be. So what happens when an average guy gets everything he wants - and discovers it's not ...",2001-10-26,57000000,16991902
Precious,7.3,86955,12000.0,drama,lesbian couple__african american lesbian__lesbian__school__abuse,"It's Harlem 1987. Sixteen year old Claireece Jones - who goes by her middle name Precious - is an illiterate, overweight black girl. She is pregnant with her second child, both children fathered by her biological father, who has continually raped her since she was a child, but who she doesn't see otherwise. Her infant daughter, Mongo - such named since she has Down Syndrome - lives with Precious' grandmother. Precious lives with her mother Mary, who abuses Precious both physically and emotionally. Mary does nothing but smoke, watch television and collect welfare through fraud (as she doesn't ever look for a job) and believes that education does nothing for Precious, who she would rather also collect welfare if only to bring money into the household. To escape her life, Precious often daydreams of herself in glamorous situations. Because of her current pregnancy, Precious' principal transfers her into an alternative school. In dealing with the school's sympathetic teacher Miss Blu Rain...",2010-03-05,10000000,47536959
White Squall,6.6,17859,911.0,adventure__drama,male bonding__acrophobia__tragedy__prostitute__jamaica,"A true story about a group of American teenage boys who crew a school sailing ship to gain experience, discipline, or whatever their parents feel they lack. The voyage is a true adventure for them all but it has its downs as well as ups.",,38000000,10300000
The Thing,8.2,258078,23000.0,horror__mystery__sci-fi,antarctica__isolation__alien life form__paranoia__alien creature,"A US research station, Antarctica, early-winter 1982. The base is suddenly buzzed and attacked by a helicopter from the nearby Norwegian research station. They appeared to be trying to kill one of the dogs from the US base. Having dealt with the threat, the members of the US team fly to the Norwegian base, only to discover them all dead or missing. They do find the remains of a strange creature the Norwegians burned. The Americans take it to their base and deduce that it an alien life form. After a while it is apparent that the alien can take over and assimilate into other life forms, including humans, and can spread like a virus. This means that anyone at the base could be inhabited by The Thing, and tensions escalate.",,15000000,13782838
Riddick,6.4,125305,39000.0,action__sci-fi__thriller,left for dead__mercenary__alien__survival__vomiting,"The infamous Riddick has been left for dead on a sun-scorched planet that appears to be lifeless. Soon, however, he finds himself fighting for survival against alien predators more lethal than any human he's encountered. The only way off is for Riddick to activate an emergency beacon and alert mercenaries who rapidly descend to the planet in search of their bounty. The first ship to arrive carries a new breed of merc, more lethal and violent, while the second is captained by a man whose pursuit of Riddick is more personal. With time running out and a storm on the horizon that no one could survive, his hunters won't leave the planet without Riddick's head as their trophy.",2013-10-25,38000000,41997790
Switchback,6.4,9740,389.0,crime__mystery__thriller,fbi agent__serial killer__deputy__sheriff__knife held to throat,"F.B.I. agent Frank LaCrosse returns home to find his home has been broken into, his son is missing and Missy the babysitter is lying in a pool of her own insides. Her murder being the hallmarks of a elusive enigmatic serial killer whose slaughter spree...stretches nearly two years. Frank's desperate pursuit leads to Amarillo, Texas, where two more victims matching the killers M.O. have been found slashed to death. As Frank searches for his suspect the local Sheriff Buck Olmstead and his Deputy Nate Booker investigate the killings in-between a heated election feud, with his competition police chief Jack McGinnis. All the while drifting former doctor Lane Dixon is picked up by ex-railroad man, Bob Goodall. As a local Mechanic, Clyde 'Shorty' Callahan becomes the latest victim. Frank hopes and prays to find this sociopath before he disappears perhaps forever into the rocky mountains",1997-12-12,37000000,6482195
Texas Rangers,5.2,4757,474.0,action__adventure__drama__thriller__western,texas__texas ranger__mexican__army__orphan,"Set after the American Civil War in the 1870s, 'Texas Rangers' is a story about a group of men determined to maintain peace and contain the chaos that is erupting on the Texan frontier. Native Americans are attempting to reclaim their land, Mexicans are pouring over the U.S. border, and renegade outlaws are tearing up the state, so the Texas Rangers swear to protect the innocent and their loved. To do so, they must be willing to maintain the peace where law enforcement cannot, fight while they are out-manned and out-armed by the opponent, and be willing to die for the freedom for which they fight.",2001-12-14,38000000,623374
City of Ember,6.5,52908,2600.0,adventure__family__fantasy__sci-fi,food__box__scientist__mayor__pipeworks,"When mankind is about to come to an end, a group of scientists decide to create and populate a city deep underground. The city of Ember is to last for 200 years after which its inhabitants are to retrieve from a strong box instructions to return to the surface. Over time however, the message is lost and life in Ember is rapidly deteriorating. Their power supply is failing and food is being rationed. It's left to two young adults to unearth the secret of Ember and to lead the way out.",2009-01-09,55000000,7871693
The Master,7.1,105144,27000.0,drama,past life regression__scientology__psychological testing__right hand man__drifter,"Returning from Navy service in World War II, Freddie Quell drifts through a series of breakdowns. Finally he stumbles upon a cult which engages in exercises to clear emotions and he becomes deeply involved with them.",2013-03-15,32000000,16377274
Virgin Territory,4.8,6691,366.0,adventure__comedy__history__romance,plague__breasts__russian nobleman__nude nun__two word title,Young Florentines take refuge from the black plague and engage in bawdy adventures and lusty exchanges.,2013-03-15,38000000,[]
The Express,7.3,16673,1800.0,biography__drama__sport,african american__syracuse university__coach__football movie__nonlinear timeline,"This biopic focuses on the relationship of Ernie Davis (1939-1963), a gifted African-American athlete, and his coach from 1958 to 1962 at Syracuse University, Ben Schwartzwalder (1909-1993). Schwartzwalder recruits Davis with the help of All-American running back, Jim Brown. The civil rights movement is gaining steam; Davis experiences prejudice on campus, in town, and on the field, sometimes from teammates. How he handles it and how he challenges Schwartzwalder to stand up for his players provide a counterpoint to several great seasons that lead first to a national championship and then to the Heismann Trophy.",2008-10-31,40000000,9589875
The 5th Wave,5.2,55617,14000.0,action__adventure__sci-fi__thriller,based on young adult novel__based on novel__attack__alien__fear,"Four waves of increasingly deadly attacks have left most of Earth in ruin. Against a backdrop of fear and distrust, Cassie is on the run, desperately trying to save her younger brother. As she prepares for the inevitable and lethal fifth wave, Cassie teams up with a young man who may become her final hope - if she can only trust him.",2016-05-20,38000000,34912982
Creed,7.7,146708,70000.0,drama__sport,boxing__fight__boxing match__philadelphia__montage,"Adonis Johnson is the son of the famous boxing champion Apollo Creed, who died in a boxing match in",2016-02-26,35000000,109712885
The Town,7.6,280228,29000.0,crime__drama__thriller,bank robbery__criminal gang__heist__bank manager__prison,"The Charlestown neighborhood of Boston is renowned for churning out a high number of armed robbers, generation after generation. These robbers never leave their Charlestown life on their own volition, the neighborhood where there is an unwritten code to protect that lifestyle. Such robbers include friends Doug MacRay, James Coughlin, Albert 'Gloansy' Magloan and Desmond Elden. Doug and James in particular treat each other like family, as the Coughlins have realistically been as such to Doug since Doug's mother ran off and Doug's father, Stephen MacRay, was sent to prison. James' single mother sister, the drugged out Krista Coughlin, and Doug have a casual sexual relationship. The foursome carry out a mostly successful bank robbery, but due to circumstances take the bank manager, Claire Keesey, hostage for a short period before releasing her physically unharmed. They find out that Claire lives in Charlestown, so they want to ensure that she did not see anything that could incriminate ...",2010-12-31,37000000,92173235
What to Expect When You're Expecting,5.7,57266,14000.0,comedy__drama__romance,pregnancy__photographer__baby__expecting twins__hawaiian shirt,"Five couples' intertwined lives are turned upside down by the challenges of impending parenthood. Over the moon about starting a family, TV fitness guru Jules and dance show star Evan find that their high-octane celebrity lives don't stand a chance against the surprise demands of pregnancy. Baby-crazy author and advocate Wendy gets a taste of her own militant mommy advice when pregnancy hormones ravage her body; while Wendy's husband, Gary, struggles not to be outdone by his competitive alpha-Dad, who's expecting twins with his much younger trophy wife, Skyler. Photographer Holly is prepared to travel the globe to adopt a child, but her husband Alex isn't so sure, and tries to quiet his panic by attending a ""dudes"" support group, where new fathers get to tell it like it really is. And rival food truck chefs Rosie and Marco's surprise hook-up results in an unexpected quandary: what to do when your first child comes before your first date?",2012-07-27,40000000,41102171
Burn After Reading,7.0,248468,8900.0,comedy__drama,memoir__gym__cia__embassy__divorce,"Osbourne Cox, a Balkan expert, resigned from the CIA because of a drinking problem, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A CD-ROM falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for cosmetic surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house.",2008-12-19,37000000,60338891
Nim's Island,6.0,28109,1100.0,adventure__comedy__family__fantasy,island__girl__author__reading__scientist,"Nim Rusoe is a girl who joins her father, a scientist, when he does research on marine life on an island. It's just the two of them but she spends her time making friends with all the animals she encounters, chatting on the computer and reading the adventure books of Alex Rover. When her father goes to do some research but when a storm strikes the island he doesn't come back, she gets worried and frightened. She then e-mails Alex Rover hoping that he will come but what she doesn't know is that Alex Rover is a woman who is agoraphobic and germaphobic. But her creation comes to life and eggs her to go. Unfortunately she has never gone anywhere before and is denied her necessities like her sanitary gel by the customs officer at the airport. In the meantime, Nim tries to be strong while waiting for Alex to arrive.",2008-08-22,37000000,48006503
Rush,8.1,312629,83000.0,action__biography__drama__sport,formula 1__rivalry__female rear nudity__1970s__sex with a nurse,"Set against the sexy, glamorous golden age of Formula 1 racing in the 1970s, the film is based on the true story of a great sporting rivalry between handsome English playboy",2013-11-15,38000000,26903709
Magnolia,8.0,241030,13000.0,drama,coincidence__abusive father__fictional game show__fictional quiz show__multiple storyline,"24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky.",2000-05-12,37000000,22450975
Cop Out,5.6,75347,4500.0,action__comedy__crime,wedding__partner__baseball card__detective__thief,"After a clumsy operation trying to capture a drug dealer, the N.Y.P.D Detectives Jimmy Monroe and Paul Hodges are suspended for one month by their Captain Romans. Jimmy decides to sell his rare baseball card to pay for his daughter's expensive wedding while his jealous partner believes that his wife is cheating on him with their next-door neighbor. When Jimmy sells his card to a memorabilia store, the place is burgled by two small-time thieves and the detective loses his card. They track down the thieves.",2010-05-14,37000000,44867349
How to Be Single,6.1,39440,15000.0,comedy__romance,single__new york city__motor scooter__scooter__newborn baby,"There's a right way to be single, a wrong way to be single, and then...there's Alice. And Robin. Lucy. Meg. Tom. David. New York City is full of lonely hearts seeking the right match, be it a love connection, a hook-up, or something in the middle. And somewhere between the teasing texts and one-night stands, what these unmarrieds all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love. Sleeping around in the city that never sleeps was never so much fun.",2016-04-08,38000000,46813366
Dolphin Tale,6.9,17948,9900.0,drama__family,dolphin__boy__tail__trap__prosthetics,A lonely and friendless boy finds and untangles a hurt dolphin that is caught in a crab trap. He becomes very attached to the dolphin when the tail must be taken off to save the dolphin's life. The boy believes the dolphin would be able to swim normally if it was given a prosthetic tail.,2012-01-20,37000000,72279690
Twilight,5.2,348007,19000.0,drama__fantasy__romance,vampire__love__school__high school__blood,"Bella Swan has always been a little bit different. Never one to run with the crowd, Bella never cared about fitting in with the trendy, plastic girls at her Phoenix, Arizona high school. When her mother remarried and Bella chooses to live with her father in the rainy little town of Forks, Washington, she didn't expect much of anything to change. But things do change when she meets the mysterious and dazzlingly beautiful Edward Cullen. For Edward is nothing like any boy she's ever met. He's nothing like anyone she's ever met, period. He's intelligent and witty, and he seems to see straight into her soul. In no time at all, they are swept up in a passionate and decidedly unorthodox romance - unorthodox because Edward really isn't like the other boys. He can run faster than a mountain lion. He can stop a moving car with his bare hands. Oh, and he hasn't aged since 1918. Like all vampires, he's immortal. That's right - vampire. But he doesn't have fangs - that's just in the movies. And he...",2009-03-27,37000000,191449475
John Q,7.0,98899,5900.0,crime__drama__thriller,hospital__insurance__hostage__heart transplant__health care,"John Quincy Archibald's son Michael collapses while playing baseball as a result of heart failure. John rushes Michael to a hospital emergency room where he is informed that Michael's only hope is a transplant. Unfortunately, John's insurance won't cover his son's transplant. Out of options, John Q. takes the emergency room staff and patients hostage until hospital doctors agree to do the transplant.",2002-04-26,36000000,71026631
Blue Streak,6.3,60572,1200.0,action__comedy__crime__thriller,diamond__jewel__thief__detective__police,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an L.A.P.D. detective...",2000-02-04,65000000,68208190
We're the Millers,7.0,316671,35000.0,comedy__crime,male frontal nudity__mexico__stripper__marijuana__fake family,"After being robbed of a week's take, small-time pot dealer David is forced by his boss to go to Mexico to pick up a load of marijuana. In order to improve his odds of making it past the border, David asks the broke stripper Rose and two local teenagers to join him and pretend they're on a family holiday.",2013-11-29,37000000,150368971
Obitaemyy ostrov,5.3,4387,240.0,action__adventure__sci-fi,guard__22nd century__first part__space opera__friend,"On the threshold of 22nd century, furrowing the space, protagonist from the Free Search Group makes emergency landing on an unknown planet where he must stay. People who are living on this planet have remained at the stone level of the 20th century, with its social problems, miserable ecology and shaky world...",2013-11-29,29500000,[]
Breakdown,6.9,38399,1200.0,action__crime__drama__mystery__thriller,paranoia__violence__car breakdown__diner__jeep,"Jeff and Amy Taylor are moving to California and must drive across the country. When they find themselves stranded in the middle of a desert with hardly anyone or anything around, their trip comes to a sudden halt. Amy had taken a ride with a friendly trucker to a small diner to call for help, but after a long time, Jeff becomes worried. He finds that no one in the diner has seen or heard from his wife. When he finds the trucker who gave Amy the ride, the trucker swears he has never seen her. Now Jeff must attempt to find his wife, who has been kidnapped and is being held for ransom. But who can he trust?",1997-08-15,36000000,50129186
Never Say Never Again,6.2,48636,1400.0,action__adventure__thriller,character says now that you're on the case i hope we're going to have some gratuitous sex and violence__nuclear warhead__british__cruise missile__missile,"SPECTRE agents under the command of Ernst Blofeld infiltrate a US air force base situated in the UK and steal two Tomahawk cruise missiles. When NATO is held to ransom, the British reactive their ""00"" agents and send James Bond to recapture the warheads and kill Blofeld.",,36000000,55500000
Hot Tub Time Machine,6.4,139184,12000.0,comedy__sci-fi,maintenance man__cheating wife__drug reference__male vomiting__promiscuous woman,"Three friends on losing streaks: Adam, whose girlfriend dumped him, Nick, with a dead-end job and a cheating wife, and Lou, a suicidal alcoholic. To help Lou recover from car-exhaust poisoning, Adam and Nick, with Adam's nephew Jacob, go to a winter resort that was their old party place. It's now a dump, but the lads rally for a night of drinking in the hot tub. Somehow, the hot tub takes them back to 1986, on a fateful night for each of them. Maybe if they do everything the same way they did that night, they'll get back to the future so Jacob can be born. There are serious temptations to do things differently. Will they make it back to their sorry lives? And what about Jacob?",2010-06-04,36000000,50213619
Dolphin Tale 2,6.4,6069,3500.0,drama__family,dolphin__purple gloves__latex gloves__turtle__medical scrubs,"It has been several years since young Sawyer Nelson and the dedicated team at the Clearwater Marine Hospital, headed by Dr. Clay Haskett, rescued Winter. With the help of Dr. Cameron McCarthy, who developed a unique prosthetic tail for the injured dolphin, they were able to save her life. Yet their fight is not over. Winter's surrogate mother, the very elderly dolphin Panama, has passed away, leaving Winter without the only poolmate she has ever known. However, the loss of Panama may have even greater repercussions for Winter, who, according to USDA regulations, cannot be housed alone, as dolphins' social behavior requires them to be paired with other dolphins. Time is running out to find a companion for her before the team at Clearwater loses their beloved Winter to another aquarium.",2014-12-12,36000000,42019483
Reindeer Games,5.7,31113,852.0,action__adventure__crime__drama__family__fantasy__romance__thriller,casino__christmas__girlfriend__christmas season__release from prison,"After being imprisoned for six years on a grand theft auto charge, Rudy Duncan (Ben Affleck) is days away from release as is his cellmate Nick (James Frain) who is is serving a two year sentence on a separate charge. Nick has a number of pictures from a romantic correspondence with a woman named Ashley he has never met but is waiting for his release. Rudy is looking forward to returning to his family and having a fresh cup of hot chocolate. Nick is killed defending Rudy during a prison riot. When Rudy Is released the next day from prison he recognizes Ashley waiting outside the prison for Nick and Rudy takes his place and pretends to be Nick. Nick had spoken of his previous employment in security with an Indian casino and Rudy finds himself involved with Ashley's criminal gun runner brother Gabriel (Gary Sinise). Rudy is violently coerced to cooperate with a Christmas Eve casino robbery scheme that Gabriel and his gang have been planning with Nick's casino knowledge as the key. Things...",2000-06-16,34000000,23360779
A Man Apart,6.1,38348,1200.0,action__crime__drama__thriller,bust__drug cartel__justice__tragic hero__dea,"Sean Vetter and Demetrius Hicks are members of the DEA who are fighting an ongoing drug war on the California/Mexico border, they are most successful at it because of their edge of growing up on the street and being thugs converted to cops. The DEA busts one of the major players by the name of ""Memo"" Lucero and imprison him in the United States but then a major player named Diablo then takes over the business and now he is now the major player targeted by Vetter and his team. But when Vetter's wife is killed in a botched hit organized by Diablo, he seeks revenge against those responsible and in the process has to seek help from the imprisoned Lucero in order to catch Diablo. But in the process, Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge...",2003-05-09,36000000,26183197
Aloha,5.4,39778,11000.0,comedy__drama__romance,written by director__critically bashed__hawaii__one word title__box office flop,"A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu, Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.",2015-07-17,37000000,20991497
Ghosts of Mississippi,6.7,8531,591.0,drama__history,trial__widow__civil rights__assassin__activist,"Ghosts of Mississippi is a real-life drama covering the final trial of Byron De La Beckwith, the assassin of heroic civil rights leader Medgar Evers. The movie begins with the murder on June 12, 1963 and the events surrounding the two initial trials which both ended in hung juries. The movie then covers district attorney Bobby De Laughter's transformation and alliance with Myrlie Evers, Medgar Evers' widow, as he becomes more involved with bringing Beckwith to trial for the third time 30 years later. Byron De La Beckwith was convicted on February 5, 1994, after having remained a free man for much of the 30 years after the murder, giving justice for Medgar Evers' family.",1997-03-14,36000000,13052741
Snow Falling on Cedars,6.8,12375,846.0,drama__mystery__romance__thriller,fisherman__washington state__trial__love__japanese,"It's 1950 on San Pedro Island in the American Pacific Northwest. Commercial fisher Carl Heine Jr.'s dead body is pulled out of the water in a fishing net by his crew, he who died of head trauma. Kazuo Miyamoto is charged with his murder. Carl and Kazuo were once friends, had known each other since childhood, but WWII has placed a strain on any sort of relationship between the ethic Japanese and Caucasian populations of the area, the Japanese population which was and is still substantial on the island. Carl had motive regarding a land dispute between the two families, land which Carl's mother eventually sold from under the Miyamotos and which Carl had just repurchased. Evidence also points to Kazuo being on the water with Carl probably sometime during his last voyage, evidence which Kazuo knew would put him in a bad light, adding on top of being Japanese, and thus decided not to disclose to the investigating sheriff at the time he was questioned. Kazuo and his wife Hatsue's fear come ...",2000-03-10,36000000,14378353
The Rite,6.0,75864,23000.0,drama__horror__mystery__thriller,exorcism__exorcist__demon__faith__seminary,"Michael, the son of a funeral director grows indifferent to his father and joins a Seminary. On his way to the course completion, he is overwhelmed by a strong lack of faith. His religious beliefs are further jolted when he sees a young girl haplessly dying in a road accident for whom he reluctantly performs the ritual to absolve her sins. His mentor still believes in him and urges him to go to Italy to take an exorcism course hoping that he it would strengthen his faith in Christianity. In Italy he attends a session from Father Xavier who soon becomes aware of his skepticism. As a result he sends him to an eminent Jesuit exorcist, Father Lucas, whose ways though questionable are quite effective. He witnesses the exorcism of a sixteen year old girl but still seems unconvinced. Father Lucas explains to him that it takes multiple sessions over a long stretch of time to completely free a victim from the demon. Despite witnessing some supernatural occurrences during the aforesaid exorcism...",2011-04-01,37000000,33037754
Gattaca,7.8,220591,17000.0,drama__sci-fi__thriller,mission__police__accident__genetics__future,"In the not-too-distant future, a less-than-perfect man wants to travel to the stars. Society has categorized Vincent Freeman as less than suitable given his genetic make-up and he has become one of the underclass of humans that are only useful for menial jobs. To move ahead, he assumes the identity of Jerome Morrow, a perfect genetic specimen who is a paraplegic as a result of a car accident. With professional advice, Vincent learns to deceive DNA and urine sample testing. Just when he is finally scheduled for a space mission, his program director is killed and the police begin an investigation, jeopardizing his secret.",1998-02-27,36000000,12339633
Isn't She Great,5.3,1977,133.0,biography__comedy__romance,autistic son__son__cancer__female protagonist__new york city,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann, the famed writer of ""Valley of the Dolls"" and other trashy novels. Facing a failing career, Susann meets a successful promoter who becomes her husband. After several failures to place her in commercials and a TV quiz show, he hits upon the idea for her to become a writer. In the pre-1960s, her books were looked upon as trash and non-printable. But then the sexual revolution hit and an audience was born for her books. The story shows the hidden behind the scenes story of Susann's life, including her autistic son and her continuing bout with cancer that she hid up to her death.",2000-02-18,36000000,2954405
Space Chimps,4.5,8860,279.0,animation__adventure__comedy__family__sci-fi,planet__astronaut__senator__attacked by a plant__space travel,"Ham III, the grandson of the first chimp astronaut, is blasted off into space by an opportunity-seeking senator. Soon, the fun-loving chimp has to get serious about the mission at hand; ridding a far-away planet of their nefarious leader. Fortunately for Ham III, two of his simian peers are along for the ride.",2008-11-21,37000000,30105968
Head of State,5.4,15046,638.0,comedy,party__alderman__washington d.c.__presidential candidate__president,"One candidate for the presidency dies in an accident a couple of weeks before the election. Meanwhile the alderman Mays Gilliam becomes a hero when he rescues a woman and her cat from an old house that would blow up. However his fiancee Kim does not pay his bills and dumps him, and Gilliam loses everything including his fancy car. When Senator Bill Arnot sees the news on television, he plots a scheme with the party advisors Martin Geller and Debra Lassiter to invite Mays to be the party nominee and lose the election for the other candidate, Vice-President Brian Lewis. Four years later, he would be the candidate and would have the chance of winning the election. Mays has a terrible beginning of campaign but when his older brother Mitch Gilliam meets him in Chicago, he advises Mays to be himself. Will he have the chance to be the first African American President of the USA?",2003-06-06,35200000,37788228
The Hangover,7.8,583341,24000.0,comedy,hangover__morning after__hedonism__drunkenness__female nudity,"Angelenos Doug Billings and Tracy Garner are about to get married. Two days before the wedding, the four men in the wedding party - Doug, Doug's two best buddies Phil Wenneck and Stu Price, and Tracy's brother Alan Garner - hop into Tracy's father's beloved Mercedes convertible for a 24-hour stag party to Las Vegas. Phil, a married high school teacher, has the same maturity level as his students when he's with his pals. Stu, a dentist, is worried about everything, especially what his controlling girlfriend Melissa thinks. Because she disapproves of traditional male bonding rituals, Stu has to lie to her about the stag, he telling her that they are going on a wine tasting tour in the Napa Valley. Regardless, he intends on eventually marrying her, against the advice and wishes of his friends. And Alan seems to be unaware of what are considered the social graces of the western world. The morning after their arrival in Las Vegas, they awaken in their hotel suite each with the worst ...",2009-12-11,35000000,277313371
Ip Man 3,7.2,21912,12000.0,action__biography__drama__history,cancer__martial arts school__wing chun__hong kong__1950s,"The year is 1959, where Ip Man lives in Hong Kong with his wife and his younger son. Trouble arises when a corrupt property developer and his thugs terrorize the school where Ip Man's son goes to. Ip Man and his disciples have to help the police guard the school day and night. On the other hand, Ip Man has to deal with his wife's terminal sickness, and at the same time faces a challenge from another Wing Chun fighter who ambitiously seeks to claim the Wing Chun Grandmaster title.",2016-02-05,36000000,2126511
Austin Powers: The Spy Who Shagged Me,6.6,181225,1600.0,action__adventure__comedy__crime,penis joke__spy__phallic image__sexy agent__volcano hideout,"Dr. Evil uses a device he calls a ""Time Machine"" to travel back to 1969 and remove Austin Powers' mojo. The sexually wounded swinger must travel back in time and, with the help of agent Felicity Shagwell, recover his vitality. Meanwhile, Dr. Evil's personal life runs amok as he discovers love, continues to shun his son and develops a close relationship with himself. Well, actually, a clone 1/8 his size whom he dubs ""Mini-Me"". The always time-baffled Dr. Evil begins his plan to put a gigantic cannon on the moon, thus turning it into a device called either ""The Death Star"" or ""Alan Parson's Project,"" depending on which name is available.",1999-09-10,33000000,205399422
Batman,7.6,269033,12000.0,action__adventure,pantyhose__dc comics__city__gotham__police,"Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne.",,35000000,251188924
